date,time,dN[mm],DN[mm],dE[mm],DE[mm],dU[mm],DU[mm]
2023/11/09,12:00:00,-195.29,2.61,513.52,1.88,347.15,11.61
2023/11/10,12:00:00,-210.32,6.32,467.17,10.60,359.11,25.30
2023/11/11,12:00:00,39.30,2.27,-143.06,2.18,-125.51,9.13
2023/11/12,12:00:00,74.57,1.69,-182.57,1.45,-126.55,7.07
2023/11/13,12:00:00,90.98,1.96,-210.92,1.68,-104.68,8.41
2023/11/14,12:00:00,110.45,1.91,-229.54,1.63,-87.48,8.14
2023/11/15,12:00:00,117.97,1.88,-249.22,1.61,-70.29,7.93
2023/11/16,12:00:00,124.42,1.77,-263.99,1.51,-49.30,7.56
2023/11/17,12:00:00,129.14,1.83,-272.45,1.56,-34.19,7.84
2023/11/18,12:00:00,134.27,1.66,-282.89,1.40,-17.69,7.01
2023/11/19,12:00:00,142.39,1.79,-286.91,1.62,-2.46,7.87
2023/11/20,12:00:00,147.39,1.77,-298.05,1.57,16.89,7.60
2023/11/21,12:00:00,151.35,1.97,-302.08,1.74,22.75,8.43
2023/11/22,12:00:00,152.68,1.94,-305.78,1.68,39.42,8.36
2023/11/23,12:00:00,159.13,1.89,-305.71,1.77,59.86,8.43
2023/11/24,12:00:00,157.32,1.84,-308.42,1.62,69.70,7.86
2023/11/25,12:00:00,155.81,2.31,-315.30,1.99,78.26,9.99
2023/11/26,12:00:00,158.06,1.66,-317.63,1.56,90.96,7.11
2023/11/27,12:00:00,161.25,1.78,-320.97,1.59,98.04,7.64
2023/11/28,12:00:00,164.19,5.72,-446.09,5.30,87.93,13.74
2023/11/29,12:00:00,165.85,1.78,-321.48,1.59,117.58,7.63
2023/11/30,12:00:00,167.25,1.86,-319.78,1.67,127.36,7.87
2023/12/01,12:00:00,168.38,1.96,-323.15,1.81,137.94,8.27
2023/12/02,12:00:00,170.28,1.65,-324.24,1.47,148.35,6.90
2023/12/03,12:00:00,173.41,1.74,-326.42,1.59,150.33,7.41
2023/12/04,12:00:00,175.63,1.80,-326.33,1.64,163.58,7.56
2023/12/05,12:00:00,178.78,1.77,-328.45,1.62,172.98,7.59
2023/12/06,12:00:00,176.67,1.72,-327.54,1.55,186.64,7.28
2023/12/07,12:00:00,176.11,1.71,-327.22,1.61,193.15,7.70
2023/12/08,12:00:00,181.72,1.73,-332.26,1.59,195.50,7.40
2023/12/09,12:00:00,182.98,1.64,-334.56,1.48,200.74,6.96
2023/12/10,12:00:00,182.94,1.70,-332.91,1.53,208.75,7.23
2023/12/11,12:00:00,186.19,1.76,-334.19,1.58,213.95,7.51
2023/12/12,12:00:00,188.85,1.72,-336.40,1.58,221.88,7.60
2023/12/13,12:00:00,187.51,1.67,-340.43,1.52,219.66,7.25
2023/12/14,12:00:00,188.73,2.01,-342.04,1.71,221.86,8.31
2023/12/15,12:00:00,192.52,1.84,-340.47,1.64,230.80,8.01
2023/12/16,12:00:00,194.19,1.79,-342.37,1.57,241.30,7.71
2023/12/17,12:00:00,194.39,1.79,-342.31,1.58,244.56,7.56
2023/12/18,12:00:00,193.38,2.07,-346.45,1.86,257.09,8.76
2023/12/19,12:00:00,204.98,2.10,-465.88,1.84,132.03,9.09
2023/12/20,12:00:00,207.23,1.84,-468.28,1.63,132.72,7.84
2023/12/21,12:00:00,211.16,1.84,-470.28,1.61,146.15,7.86
2023/12/22,12:00:00,212.91,1.80,-471.27,1.60,151.18,7.67
2023/12/23,12:00:00,211.10,1.75,-474.29,1.56,159.55,7.47
2023/12/24,12:00:00,209.21,1.79,-469.84,1.60,162.54,7.65
2023/12/25,12:00:00,211.09,1.74,-471.90,1.55,170.78,7.44
2023/12/26,12:00:00,211.42,1.63,-479.80,1.45,188.60,6.85
2023/12/27,12:00:00,214.90,1.55,-476.94,1.39,194.27,6.55
2023/12/28,12:00:00,214.76,1.50,-474.81,1.34,200.96,6.38
2023/12/29,12:00:00,217.57,1.44,-474.76,1.32,212.01,6.11
2023/12/30,12:00:00,218.51,1.52,-473.78,1.40,210.72,6.66
2023/12/31,12:00:00,218.64,1.55,-475.69,1.43,214.95,6.80
2024/01/01,12:00:00,216.17,1.71,-475.02,1.56,221.69,7.63
2024/01/02,12:00:00,219.39,1.83,-477.60,1.65,215.40,8.13
2024/01/03,12:00:00,218.55,1.76,-474.67,1.61,223.81,7.92
2024/01/04,12:00:00,222.71,1.73,-476.51,1.56,237.05,7.69
2024/01/05,12:00:00,224.83,1.83,-475.36,1.60,245.48,7.93
2024/01/06,12:00:00,225.19,1.74,-474.95,1.55,254.53,7.66
2024/01/07,12:00:00,225.76,1.55,-475.88,1.37,253.78,6.69
2024/01/08,12:00:00,230.33,1.72,-474.24,1.53,260.79,7.39
2024/01/09,12:00:00,226.58,1.80,-478.81,1.62,265.08,7.82
2024/01/10,12:00:00,230.23,1.77,-478.32,1.58,266.18,7.70
2024/01/11,12:00:00,230.81,1.77,-481.48,1.59,273.83,7.82
2024/01/12,12:00:00,232.30,1.74,-480.66,1.54,277.37,7.51
2024/01/13,12:00:00,233.37,1.77,-477.70,1.56,287.35,7.66
2024/01/14,12:00:00,407.26,6.47,-873.40,5.84,276.33,26.58
2024/01/15,12:00:00,473.62,1.73,-916.50,1.63,259.77,7.61
2024/01/16,12:00:00,479.09,1.72,-922.71,1.53,274.38,7.44
