date,time,dN[mm],DN[mm],dE[mm],DE[mm],dU[mm],DU[mm]
2023/12/19,12:00:00,-3.17,2.55,2.73,1.91,-11.39,11.54
2023/12/20,12:00:00,-3.16,1.26,-0.25,1.12,-11.12,5.08
2023/12/21,12:00:00,0.66,1.19,-0.28,1.05,-0.73,4.81
2023/12/22,12:00:00,2.57,1.14,0.53,1.03,3.12,4.56
2023/12/23,12:00:00,0.56,1.10,-1.22,1.01,11.75,4.45
2023/12/24,12:00:00,-1.59,1.25,4.15,1.11,16.05,5.03
2023/12/25,12:00:00,1.22,1.09,3.73,0.99,23.18,4.42
2023/12/26,12:00:00,4.62,1.25,-1.41,1.14,48.49,5.17
2023/12/27,12:00:00,7.42,1.03,0.93,0.94,46.83,4.12
2023/12/28,12:00:00,7.21,1.02,3.64,0.93,52.98,4.10
2023/12/29,12:00:00,10.48,0.99,4.93,0.93,63.29,3.99
2023/12/30,12:00:00,11.95,1.04,6.58,0.97,66.08,4.26
2023/12/31,12:00:00,10.19,1.08,6.39,1.01,61.93,4.50
2024/01/01,12:00:00,8.30,1.16,7.78,1.07,68.89,4.96
2024/01/02,12:00:00,11.48,1.26,6.71,1.14,64.27,5.37
2024/01/03,12:00:00,11.39,1.21,9.42,1.12,74.34,5.19
2024/01/04,12:00:00,14.66,1.16,8.71,1.08,85.42,4.93
2024/01/12,12:00:00,24.65,1.36,12.40,1.05,129.63,5.66
2024/01/13,12:00:00,25.19,1.14,15.39,1.02,136.57,4.64
2024/01/14,12:00:00,274.67,5.91,-437.11,5.13,154.21,23.44
2024/01/15,12:00:00,332.92,1.23,-477.67,1.20,160.55,5.07
2024/01/16,12:00:00,340.57,1.42,-482.34,1.30,176.37,6.12
2024/01/17,12:00:00,343.25,1.29,-482.69,1.17,186.36,5.48
2024/01/18,12:00:00,346.98,1.22,-484.44,1.15,192.92,4.92
2024/01/19,12:00:00,348.48,1.13,-486.31,1.01,199.13,4.57
2024/01/20,12:00:00,344.58,1.22,-487.01,1.10,201.08,5.00
2024/01/21,12:00:00,348.58,1.15,-486.71,1.02,217.37,4.65
2024/01/22,12:00:00,350.93,1.19,-485.38,1.10,225.99,4.76
2024/01/23,12:00:00,352.50,1.26,-486.57,1.07,225.11,4.93
2024/01/24,12:00:00,355.68,1.29,-487.71,1.14,234.99,5.24
2024/01/25,12:00:00,354.29,1.29,-486.56,1.18,231.48,5.21
2024/01/26,12:00:00,354.32,1.46,-485.15,1.30,242.47,5.85
2024/01/27,12:00:00,357.65,1.29,-483.49,1.13,251.94,5.30
2024/01/28,12:00:00,356.96,1.29,-483.73,1.16,256.80,5.28
2024/01/29,12:00:00,360.17,1.34,-483.26,1.21,262.20,5.44
2024/01/30,12:00:00,359.03,1.32,-481.27,1.15,262.52,5.42
2024/01/31,12:00:00,361.47,1.31,-477.44,1.14,272.75,5.36
2024/02/01,12:00:00,363.19,1.26,-479.08,1.09,279.72,5.05
2024/02/02,12:00:00,360.57,1.31,-479.58,1.13,275.58,5.38
2024/02/03,12:00:00,363.45,1.61,-477.35,1.39,285.97,6.64
2024/02/04,12:00:00,363.59,1.17,-473.69,1.01,292.42,4.54
2024/02/05,12:00:00,362.92,1.15,-472.06,1.01,289.37,4.45
2024/02/06,12:00:00,361.98,1.17,-469.79,1.01,295.13,4.53
2024/02/07,12:00:00,361.63,1.17,-470.37,1.03,304.83,4.58
2024/02/08,12:00:00,346.04,1.64,-532.87,1.49,242.05,6.76
2024/02/09,12:00:00,352.10,1.18,-534.08,1.05,213.21,4.66
2024/02/10,12:00:00,352.98,1.18,-533.99,1.04,226.63,4.57
2024/02/11,12:00:00,354.66,1.34,-531.93,1.20,231.51,5.22
2024/02/12,12:00:00,353.80,1.27,-530.57,1.07,238.65,4.87
2024/02/13,12:00:00,355.83,1.26,-529.28,1.08,243.84,4.86
2024/02/14,12:00:00,357.50,1.23,-532.14,1.07,252.39,4.74
2024/02/15,12:00:00,358.02,1.23,-528.99,1.08,256.25,4.70
2024/02/16,12:00:00,360.70,1.23,-525.26,1.03,260.63,4.71
2024/02/17,12:00:00,358.63,1.33,-528.28,1.18,265.84,5.15
2024/02/18,12:00:00,361.58,1.21,-527.58,1.07,271.52,4.72
2024/02/19,12:00:00,359.50,1.26,-527.18,1.08,275.15,4.87
2024/02/20,12:00:00,359.15,1.32,-526.92,1.15,283.03,5.18
2024/02/21,12:00:00,358.48,1.23,-526.63,1.06,290.92,4.83
2024/02/22,12:00:00,359.05,1.30,-522.65,1.12,285.95,5.16
2024/02/23,12:00:00,362.78,1.27,-519.25,1.12,304.70,5.00
2024/02/24,12:00:00,365.12,1.30,-520.43,1.18,313.67,4.91
2024/02/25,12:00:00,367.38,1.30,-519.94,1.11,316.66,5.08
2024/02/26,12:00:00,370.95,1.30,-524.20,1.18,325.46,5.22
2024/02/27,12:00:00,368.46,1.41,-519.55,1.24,322.93,5.73
2024/02/28,12:00:00,369.18,1.22,-518.91,1.06,333.81,4.70
2024/02/29,12:00:00,368.16,1.19,-517.52,1.06,337.51,4.54
2024/03/01,12:00:00,369.69,1.32,-516.80,1.17,339.99,5.05
2024/03/02,12:00:00,367.90,1.32,-540.74,1.17,341.18,5.22
2024/03/03,12:00:00,367.14,1.38,-552.80,1.32,340.58,5.53
2024/03/04,12:00:00,370.57,1.26,-551.64,1.08,342.11,4.88
2024/03/05,12:00:00,371.56,1.32,-551.04,1.14,349.05,5.09
2024/03/06,12:00:00,370.02,1.28,-550.18,1.11,352.46,4.82
2024/03/07,12:00:00,374.20,1.39,-551.41,1.24,354.63,5.41
2024/03/08,12:00:00,378.13,1.34,-547.32,1.17,373.31,5.13
2024/03/09,12:00:00,374.24,1.27,-547.62,1.12,369.40,4.98
2024/03/14,12:00:00,376.39,1.58,-546.11,1.14,398.07,4.31
2024/03/15,12:00:00,381.94,1.78,-545.64,1.33,395.73,4.87
2024/03/16,12:00:00,374.04,1.62,-550.33,1.49,400.23,6.38
2024/03/17,12:00:00,365.12,1.22,-616.60,1.06,288.72,4.67
2024/03/18,12:00:00,369.15,1.28,-617.18,1.13,289.93,5.00
2024/03/19,12:00:00,370.08,1.31,-617.25,1.12,295.29,5.05
2024/03/20,12:00:00,372.22,1.31,-619.63,1.11,294.60,4.83
2024/03/21,12:00:00,367.08,1.39,-613.08,1.19,302.77,5.33
2024/03/22,12:00:00,369.99,1.41,-609.72,1.23,297.71,5.09
2024/03/23,12:00:00,369.58,1.72,-608.70,1.51,294.32,6.05
2024/03/24,12:00:00,371.19,1.43,-609.44,1.26,309.23,5.52
2024/03/25,12:00:00,371.20,1.17,-609.90,0.97,311.93,4.49
2024/03/26,12:00:00,371.09,1.21,-607.95,1.04,309.94,4.60
2024/03/27,12:00:00,370.51,1.21,-608.16,1.04,310.10,4.66
2024/03/28,12:00:00,369.79,1.20,-611.39,1.24,317.71,4.88
2024/03/29,12:00:00,374.32,1.36,-609.06,1.30,306.19,5.31
2024/03/30,12:00:00,370.67,1.33,-607.93,1.28,309.08,5.38
2024/03/31,12:00:00,372.47,1.23,-605.29,1.03,310.45,4.71
2024/04/01,12:00:00,372.47,1.21,-605.07,1.03,309.77,4.61
2024/04/02,12:00:00,375.30,1.16,-607.19,1.00,316.36,4.36
2024/04/03,12:00:00,374.42,1.15,-604.00,0.97,315.93,4.32
2024/04/04,12:00:00,372.06,1.16,-602.35,1.00,316.77,4.52
2024/04/05,12:00:00,371.85,1.17,-602.77,1.01,325.24,4.64
2024/04/06,12:00:00,371.05,1.15,-603.49,0.98,326.11,4.58
2024/04/07,12:00:00,374.49,1.20,-601.93,1.05,336.05,4.50
2024/04/08,12:00:00,377.46,1.17,-602.39,1.02,338.43,4.41
2024/04/09,12:00:00,377.59,1.19,-605.20,1.04,338.41,4.50
2024/04/10,12:00:00,380.61,1.13,-601.73,0.99,348.42,4.29
2024/04/11,12:00:00,379.56,1.13,-600.10,0.97,351.73,4.28
2024/04/12,12:00:00,379.23,1.19,-600.56,1.05,353.88,4.48
2024/04/13,12:00:00,381.31,1.12,-597.59,0.95,356.70,4.19
2024/04/14,12:00:00,383.37,1.24,-598.37,1.08,365.96,4.58
2024/04/15,12:00:00,385.07,1.31,-594.86,1.10,369.54,4.93
2024/04/16,12:00:00,385.98,1.53,-596.59,1.33,375.77,5.81
2024/04/17,12:00:00,386.80,1.18,-596.11,1.01,375.24,4.39
2024/04/18,12:00:00,387.19,1.19,-594.35,1.05,379.79,4.47
2024/04/19,12:00:00,388.20,1.56,-595.20,1.37,383.21,5.71
2024/04/20,12:00:00,389.19,1.32,-596.92,1.16,390.53,5.02
2024/04/21,12:00:00,386.84,1.51,-594.72,1.32,392.16,6.05
2024/04/22,12:00:00,387.73,1.26,-592.33,1.06,399.63,4.84
2024/04/23,12:00:00,387.18,1.71,-596.85,1.48,405.21,6.76
2024/04/24,12:00:00,386.80,1.23,-594.85,1.05,405.38,4.67
2024/04/25,12:00:00,387.36,1.27,-590.34,1.13,414.03,4.77
2024/04/26,12:00:00,388.58,1.23,-589.92,1.03,420.26,4.86
2024/04/27,12:00:00,389.16,1.29,-590.52,1.08,418.46,5.03
2024/04/28,12:00:00,390.71,1.25,-591.43,1.05,422.28,4.76
2024/04/29,12:00:00,390.76,1.18,-589.79,1.01,425.65,4.49
2024/04/30,12:00:00,391.33,1.27,-589.58,1.13,426.48,4.89
2024/05/01,12:00:00,395.24,1.24,-590.77,1.03,436.39,4.76
2024/05/02,12:00:00,394.63,1.40,-592.91,1.15,436.28,5.22
2024/05/03,12:00:00,397.70,1.33,-593.15,1.10,443.42,5.13
2024/05/04,12:00:00,395.90,1.23,-592.75,1.06,451.21,4.69
2024/05/05,12:00:00,395.90,1.48,-593.61,1.33,456.64,5.93
2024/05/06,12:00:00,396.93,1.32,-590.91,1.12,461.81,5.22
2024/05/07,12:00:00,399.62,1.30,-590.22,1.11,465.03,5.04
2024/05/08,12:00:00,399.97,1.20,-587.49,1.03,471.06,4.57
2024/05/09,12:00:00,398.21,1.24,-586.72,1.06,476.62,4.77
2024/05/10,12:00:00,400.00,1.40,-588.11,1.29,478.98,5.22
2024/05/11,12:00:00,400.64,1.95,-587.30,1.72,482.74,7.46
2024/05/12,12:00:00,400.20,1.37,-586.95,1.15,481.93,5.41
2024/05/13,12:00:00,400.30,1.25,-587.66,1.04,489.64,4.79
2024/05/14,12:00:00,402.92,1.18,-588.34,1.05,502.94,4.53
2024/05/15,12:00:00,402.49,1.24,-589.31,1.07,503.95,4.72
2024/05/16,12:00:00,403.83,1.34,-586.60,1.12,501.41,5.17
2024/05/17,12:00:00,408.15,1.46,-586.23,1.30,504.36,5.51
